mode,arm,population,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi
A,shrink_lambda1.2,UNION,50,-3.5187929868521413,8.293690380000001,4.774897393147858,-6.952726720302143,-1.005047850777923
A,shrink_lambda1.2,all129,129,-1.389100686102449,4.835849751937984,3.4467490658355353,-2.787943579342052,-0.351915399639219
A,shrink_lambda1.2,gradient12,12,0.3136823882443058,2.9143908888888888,3.228073277133195,-0.2807365020607102,0.954821601868334
B,shrink_lambda1.2,Q_std,33,-5.451030044583167,10.464823232323234,5.013793187740064,-10.446306457300436,-1.6920253148269104
B,shrink_lambda1.2,Q_nll,33,-5.180285443135083,10.275718616161615,5.095433173026534,-10.220248145760063,-1.3742282567087227
B,shrink_lambda1.2,UNION,50,-3.5187929868521413,8.293690380000001,4.774897393147858,-7.006331515367404,-0.9913340154693656
B,shrink_lambda1.2,all129,129,-1.389100686102449,4.835849751937984,3.446749065835535,-2.7968142900270587,-0.3756236196946578
B,shrink_lambda1.2,gradient12,12,0.3136823882443056,2.9143908888888888,3.2280732771331944,-0.27212065047103623,0.9703750367274379
A,shrink_lambda1.3,Q_std,33,-4.84878529656081,10.464823232323234,5.616037935762423,-9.291203456863224,-1.606608592262487
A,shrink_lambda1.3,Q_nll,33,-4.568530625512241,10.275718616161615,5.707187990649375,-8.997245108228583,-1.293909120606644
A,shrink_lambda1.3,UNION,50,-3.109763191455121,8.293690380000001,5.18392718854488,-6.16003967166206,-0.8610216485172397
A,shrink_lambda1.3,all129,129,-1.2199698419631682,4.835849751937984,3.615879909974816,-2.439836154811041,-0.3075032185146214
A,shrink_lambda1.3,gradient12,12,0.36195443119358556,2.9143908888888888,3.2763453200824735,-0.27806232027254035,1.081078177007756
B,shrink_lambda1.3,Q_std,33,-4.84878529656081,10.464823232323234,5.616037935762423,-9.330856318575414,-1.599909715819337
B,shrink_lambda1.3,Q_nll,33,-4.568530625512241,10.275718616161615,5.707187990649375,-8.976834782913476,-1.3042172018255453
B,shrink_lambda1.3,UNION,50,-3.109763191455121,8.293690380000001,5.18392718854488,-6.108191762995753,-0.8732889631047073
B,shrink_lambda1.3,all129,129,-1.2199698419631684,4.835849751937984,3.6158799099748165,-2.4496120662523326,-0.30548557446706465
B,shrink_lambda1.3,gradient12,12,0.36195443119358534,2.9143908888888888,3.2763453200824735,-0.30967520615341115,1.0761112695376398
A,shrink_lambda1.5,Q_std,33,-3.6442958005160966,10.464823232323234,6.820527431807136,-6.8316027334698,-1.2252474959494193
A,shrink_lambda1.5,Q_nll,33,-3.3337871107062798,10.275718616161615,6.9419315054553365,-6.581683277774363,-0.863923076956331
A,shrink_lambda1.5,UNION,50,-2.2842892401512964,8.293690380000001,6.009401139848703,-4.54791034710087,-0.5814383568730168
A,shrink_lambda1.5,all129,129,-0.8784464007028251,4.835849751937984,3.95740335123516,-1.8039322896041807,-0.17989375706839908
A,shrink_lambda1.5,gradient12,12,0.4584985170921449,2.9143908888888888,3.372889405981034,-0.33017110445645614,1.2928723194459417
B,shrink_lambda1.5,Q_std,33,-3.644295800516096,10.464823232323234,6.820527431807137,-6.92851655438084,-1.2684389071528945
B,shrink_lambda1.5,Q_nll,33,-3.3337871107062798,10.275718616161615,6.9419315054553365,-6.5734849698942295,-0.8627824154902252
B,shrink_lambda1.5,UNION,50,-2.284289240151296,8.293690380000001,6.009401139848703,-4.4941113441099265,-0.5978239492311616
B,shrink_lambda1.5,all129,129,-0.8784464007028249,4.835849751937984,3.95740335123516,-1.7851529145485794,-0.17487719008786423
B,shrink_lambda1.5,gradient12,12,0.458498517092145,2.9143908888888888,3.372889405981034,-0.33341474334046745,1.285827550835117
A,shrink_lambda2.0,Q_std,33,-0.5940700914721523,10.464823232323234,9.87075314085108,-1.6335409242685037,0.4942389980728911
A,shrink_lambda2.0,Q_nll,33,-0.19797692982284287,10.275718616161615,10.077741686338776,-1.2632360449521909,0.9032313453511739
A,shrink_lambda2.0,UNION,50,-0.18829644193850278,8.293690380000001,8.105393938061498,-1.0237814358099975,0.6852087843347192
A,shrink_lambda2.0,all129,129,0.021966729932807152,4.835849751937984,4.857816481870791,-0.38821864854607024,0.4502702623452885
A,shrink_lambda2.0,gradient12,12,0.699858731838544,2.9143908888888888,3.6142496207274326,-0.38277075578299136,1.872966111696591
B,shrink_lambda2.0,Q_std,33,-0.5940700914721517,10.464823232323234,9.87075314085108,-1.6657266107506783,0.4983533727950437
B,shrink_lambda2.0,Q_nll,33,-0.1979769298228422,10.275718616161615,10.077741686338776,-1.2554149306139908,0.9545135941305695
B,shrink_lambda2.0,UNION,50,-0.18829644193850237,8.293690380000001,8.105393938061498,-1.0096790333038494,0.6824222193826968
B,shrink_lambda2.0,all129,129,0.021966729932807287,4.835849751937984,4.857816481870791,-0.391148947968801,0.4402746753439037
B,shrink_lambda2.0,gradient12,12,0.699858731838544,2.9143908888888888,3.6142496207274326,-0.40497589011062535,1.890425006186751
